Date(UTC),Julian Date,MET,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 19 2008,2454698.5,240883201,632.49,7.22E-08,6.8E-09
Sep 18 2008,2454728.5,243475201,366.78,5.09E-08,6.5E-09
Nov 17 2008,2454788.5,248659201,507.72,6.97E-08,7.5E-09
Dec 17 2008,2454818.5,251251201,631.78,6.18E-08,6.2E-09
Jan 16 2009,2454848.499988430,253843201,269.32,4.16E-08,5.8E-09
Feb 15 2009,2454878.499988430,256435201,339.27,3.74E-08,5.2E-09
Mar 17 2009,2454908.499988430,259027201,160.2,3.01E-08,5.3E-09
Apr 16 2009,2454938.499988430,261619201,170.24,3.09E-08,5.1E-09
May 16 2009,2454968.499988430,264211201,295.92,3.87E-08,5.4E-09
Jun 15 2009,2454998.499988430,266803201,186.56,3.33E-08,5.6E-09
Jul 15 2009,2455028.499988430,269395201,339.42,3.97E-08,5.2E-09
Aug 14 2009,2455058.499988430,271987201,180.49,3.22E-08,5.5E-09
Sep 13 2009,2455088.499988430,274579201,166.77,3.95E-08,6.2E-09
Oct 13 2009,2455118.499988430,277171201,182.74,4.55E-08,7E-09
Nov 12 2009,2455148.499988430,279763201,183.1,3.63E-08,6E-09
Dec 12 2009,2455178.499988430,282355201,157.25,3.31E-08,6E-09
Jan 11 2010,2455208.499988430,284947201,205.24,4.16E-08,6.5E-09
Feb 10 2010,2455238.499988430,287539201,227.85,4.43E-08,6.6E-09
Mar 12 2010,2455268.499988430,290131201,293.12,5.39E-08,7.5E-09
Apr 11 2010,2455298.499988430,292723201,319.43,5.51E-08,7.4E-09
May 11 2010,2455328.499988430,295315201,296.91,5.98E-08,7.7E-09
Jun 10 2010,2455358.499988430,297907201,257.63,4.78E-08,6.9E-09
Jul 10 2010,2455388.499988430,300499201,520.35,7.94E-08,8.2E-09
Aug 09 2010,2455418.499988430,303091201,411.79,6.76E-08,7.6E-09
Sep 08 2010,2455448.499988430,305683201,322.41,4.88E-08,6.4E-09
Oct 08 2010,2455478.499988430,308275201,268.56,6.21E-08,8.2E-09
Nov 07 2010,2455508.499988430,310867201,275.14,5.04E-08,6.9E-09
Dec 07 2010,2455538.499988430,313459201,210.83,4.31E-08,6.7E-09
Jan 06 2011,2455568.499988430,316051201,220.94,3.11E-08,5.4E-09
Feb 05 2011,2455598.499988430,318643201,218.02,4.51E-08,6.9E-09
Mar 07 2011,2455628.499988430,321235201,235.78,4.42E-08,6.6E-09
Apr 06 2011,2455658.499988430,323827201,217.64,3.77E-08,6.3E-09
May 06 2011,2455688.499988430,326419201,162.23,3.07E-08,5.7E-09
Jun 05 2011,2455718.499988430,329011201,209.51,3.69E-08,6E-09
Jul 05 2011,2455748.499988430,331603201,236.84,4.29E-08,6.6E-09
Aug 04 2011,2455778.499988430,334195201,91.43,2.84E-08,5.7E-09
