Date(UTC),Julian Date,MET,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 08 2008,2454687,239889601,124.45,6.39E-08,1.48E-08
Aug 15 2008,2454694,240494401,190.05,9.26E-08,1.62E-08
Aug 22 2008,2454701,241099201,156.12,7.44E-08,1.37E-08
Aug 29 2008,2454708,241704001,135.03,6.56E-08,1.26E-08
Sep 05 2008,2454715,242308801,108.55,5.2E-08,1.15E-08
Sep 12 2008,2454722,242913601,119.75,4.71E-08,1.17E-08
Sep 19 2008,2454729,243518401,69.4,5.03E-08,1.48E-08
Sep 26 2008,2454736,244123201,47.51,5.46E-08,1.6E-08
Oct 03 2008,2454743,244728001,108.95,6.32E-08,1.51E-08
Oct 10 2008,2454750,245332801,156.85,6.32E-08,1.26E-08
Oct 24 2008,2454764,246542401,94.38,4.97E-08,1.17E-08
Oct 31 2008,2454771,247147201,112.65,5.82E-08,1.25E-08
Nov 07 2008,2454778,247752001,149.11,7.81E-08,1.57E-08
Nov 14 2008,2454785,248356801,168.74,8.72E-08,1.8E-08
Nov 21 2008,2454792,248961601,75.78,5.88E-08,1.58E-08
Nov 28 2008,2454799,249566401,71.42,5.68E-08,1.41E-08
Dec 05 2008,2454806,250171201,180.42,6.2E-08,1.24E-08
Dec 12 2008,2454813,250776001,182.85,7.13E-08,1.35E-08
Dec 19 2008,2454820,251380801,135.11,5.61E-08,1.18E-08
Dec 26 2008,2454827,251985601,143.41,6.74E-08,1.37E-08
Jan 02 2009,2454833.999988430,252590401,80.18,6.1E-08,1.5E-08
Jan 09 2009,2454840.999988430,253195201,52.48,3.81E-08,1.29E-08
Jan 16 2009,2454847.999988430,253800001,77.4,4.78E-08,1.33E-08
Jan 23 2009,2454854.999988430,254404801,64.38,3.85E-08,1.04E-08
Jan 30 2009,2454861.999988430,255009601,35.07,2.42E-08,9E-09
Feb 06 2009,2454868.999988430,255614401,64.19,3.69E-08,1.05E-08
Feb 13 2009,2454875.999988430,256219201,162.25,4.85E-08,1.1E-08
Feb 20 2009,2454882.999988430,256824001,82.16,3.57E-08,1.04E-08
Feb 27 2009,2454889.999988430,257428801,25.88,2.61E-08,1.13E-08
Mar 06 2009,2454896.999988430,258033601,61.83,4.35E-08,1.37E-08
Mar 13 2009,2454903.999988430,258638401,4.01,1.79E-08,1.3E-08
Mar 20 2009,2454910.999988430,259243201,22.1,1.98E-08,8.1E-09
Mar 27 2009,2454917.999988430,259848001,59.37,3.61E-08,1.08E-08
Apr 03 2009,2454924.999988430,260452801,114.88,5.42E-08,1.18E-08
Apr 10 2009,2454931.999988430,261057601,28.96,2.68E-08,9.6E-09
Apr 17 2009,2454938.999988430,261662401,18.56,2.44E-08,1.04E-08
Apr 24 2009,2454945.999988430,262267201,16.23,8.16E-09,5.7E-09
May 01 2009,2454952.999988430,262872001,47.11,4.55E-08,1.42E-08
May 08 2009,2454959.999988430,263476801,55.34,3.44E-08,1.09E-08
May 15 2009,2454966.999988430,264081601,89.89,4.34E-08,1.19E-08
May 22 2009,2454973.999988430,264686401,57.19,2.93E-08,9.3E-09
May 29 2009,2454980.999988430,265291201,70.67,4.2E-08,1.1E-08
Jun 05 2009,2454987.999988430,265896001,72.92,3.67E-08,1.07E-08
Jun 12 2009,2454994.999988430,266500801,35.21,2.76E-08,1.09E-08
Jun 19 2009,2455001.999988430,267105601,72.47,5.12E-08,1.5E-08
Jun 26 2009,2455008.999988430,267710401,11.69,2.56E-08,1.22E-08
Jul 03 2009,2455015.999988430,268315201,65.43,3.9E-08,1.14E-08
Jul 10 2009,2455022.999988430,268920001,82.03,3.38E-08,9.6E-09
Jul 17 2009,2455029.999988430,269524801,102.36,4.78E-08,1.14E-08
Jul 24 2009,2455036.999988430,270129601,81.92,4.63E-08,1.16E-08
Jul 31 2009,2455043.999988430,270734401,19.64,1.55E-08,7.88E-09
Aug 07 2009,2455050.999988430,271339201,32.06,3.27E-08,1.19E-08
Aug 14 2009,2455057.999988430,271944001,40.44,3.24E-08,1.2E-08
Aug 21 2009,2455064.999988430,272548801,61.74,3.9E-08,1.2E-08
Aug 28 2009,2455071.999988430,273153601,49.42,3.22E-08,1.07E-08
Sep 04 2009,2455078.999988430,273758401,31.38,3.34E-08,1.15E-08
Sep 11 2009,2455085.999988430,274363201,53.37,5.2E-08,1.42E-08
Sep 18 2009,2455092.999988430,274968001,49.63,4.75E-08,1.34E-08
Sep 25 2009,2455099.999988430,275572801,26.37,2.58E-08,1.22E-08
Oct 02 2009,2455106.999988430,276177601,12.41,2.03E-08,1.16E-08
Oct 09 2009,2455113.999988430,276782401,48.56,4.23E-08,1.37E-08
Oct 16 2009,2455120.999988430,277387201,55.1,5.02E-08,1.45E-08
Oct 23 2009,2455127.999988430,277992001,63.64,6.1E-08,1.57E-08
Oct 30 2009,2455134.999988430,278596801,49.97,4.71E-08,1.36E-08
Nov 06 2009,2455141.999988430,279201601,30.8,2.92E-08,1.18E-08
Nov 13 2009,2455148.999988430,279806401,24.78,2.81E-08,1.14E-08
Nov 20 2009,2455155.999988430,280411201,54.13,3.76E-08,1.25E-08
Nov 27 2009,2455162.999988430,281016001,44.18,5E-08,1.52E-08
Dec 04 2009,2455169.999988430,281620801,28.93,2.93E-08,1.22E-08
Dec 11 2009,2455176.999988430,282225601,55.85,4.02E-08,1.34E-08
Dec 18 2009,2455183.999988430,282830401,38.42,3.74E-08,1.24E-08
Dec 25 2009,2455190.999988430,283435201,25.62,1.75E-08,8.97E-09
Jan 01 2010,2455197.999988430,284040001,63.03,5.18E-08,1.37E-08
Jan 08 2010,2455204.999988430,284644801,86.72,6.17E-08,1.63E-08
Jan 15 2010,2455211.999988430,285249601,42.33,4.4E-08,1.43E-08
Jan 22 2010,2455218.999988430,285854401,24.27,2.11E-08,1.03E-08
Jan 29 2010,2455225.999988430,286459201,48.93,4.47E-08,1.46E-08
Feb 05 2010,2455232.999988430,287064001,45.75,3.47E-08,1.26E-08
Feb 12 2010,2455239.999988430,287668801,51.22,4.33E-08,1.34E-08
Feb 19 2010,2455246.999988430,288273601,54.06,4.44E-08,1.28E-08
Feb 26 2010,2455253.999988430,288878401,83.56,5.76E-08,1.47E-08
Mar 05 2010,2455260.999988430,289483201,40.12,3.77E-08,1.28E-08
Mar 12 2010,2455267.999988430,290088001,69.15,7.09E-08,1.83E-08
Mar 19 2010,2455274.999988430,290692801,76.81,4.61E-08,1.41E-08
Mar 26 2010,2455281.999988430,291297601,52.73,4.97E-08,1.59E-08
Apr 02 2010,2455288.999988430,291902401,114.36,6.51E-08,1.55E-08
Apr 09 2010,2455295.999988430,292507201,59.34,4.01E-08,1.38E-08
Apr 16 2010,2455302.999988430,293112001,106.24,7.2E-08,1.62E-08
Apr 23 2010,2455309.999988430,293716801,41.91,4.55E-08,1.52E-08
Apr 30 2010,2455316.999988430,294321601,68.36,7.07E-08,1.79E-08
May 07 2010,2455323.999988430,294926401,72.02,6.07E-08,1.67E-08
May 14 2010,2455330.999988430,295531201,60.24,6.01E-08,1.63E-08
May 21 2010,2455337.999988430,296136001,81.4,5.35E-08,1.39E-08
May 28 2010,2455344.999988430,296740801,33.23,4.47E-08,1.48E-08
Jun 04 2010,2455351.999988430,297345601,65.42,4.62E-08,1.34E-08
Jun 11 2010,2455358.999988430,297950401,83.88,5.11E-08,1.37E-08
Jun 18 2010,2455365.999988430,298555201,52.08,5.09E-08,1.53E-08
Jun 25 2010,2455372.999988430,299160001,91,5.65E-08,1.44E-08
